90944
1	1	1	2.901635e-01	-1.111746e-01	
3	1	1	-2.476596e-01	1.623367e-01	
1	1	3	-2.476596e-01	1.623367e-01	
1	3	1	-2.476596e-01	1.623367e-01	
3	-1	1	7.190705e-03	2.575577e-01	
-1	1	3	7.190705e-03	2.575577e-01	
-1	-3	1	7.190705e-03	-2.575577e-01	
-1	3	1	-1.546870e-01	-2.041007e-01	
-3	-1	1	-1.546870e-01	2.041007e-01	
1	-1	3	-1.546870e-01	-2.041007e-01	
-3	1	1	-2.520605e-01	-2.470142e-02	
1	-3	1	-2.520605e-01	-2.470142e-02	
-1	-1	3	-2.520605e-01	2.470142e-02	
-1	2	1	7.040207e-02	2.327643e-01	
1	-1	2	7.040207e-02	2.327643e-01	
-2	-1	1	7.040207e-02	-2.327643e-01	
-1	1	2	-3.699921e-02	-2.368445e-01	
-1	-2	1	-3.699921e-02	2.368445e-01	
2	-1	1	-3.699921e-02	-2.368445e-01	
-1	-1	2	2.253075e-01	1.095409e-02	
-2	1	1	2.253075e-01	-1.095409e-02	
1	-2	1	2.253075e-01	-1.095409e-02	
1	-2	2	-1.044231e-01	-1.363153e-01	
-2	2	1	-1.044231e-01	-1.363153e-01	
-2	-1	2	-1.044231e-01	1.363153e-01	
2	-2	1	-7.280645e-02	1.437360e-01	
-1	-2	2	-7.280645e-02	-1.437360e-01	
-2	1	2	-7.280645e-02	1.437360e-01	
2	2	1	-1.337179e-01	8.320740e-02	
1	2	2	-1.337179e-01	8.320740e-02	
2	1	2	-1.337179e-01	8.320740e-02	
-1	-1	1	1.544302e-01	2.041864e-02	
1	-1	1	1.544302e-01	-2.041864e-02	
-1	1	1	1.544302e-01	-2.041864e-02	
-2	-3	1	-4.852982e-02	1.462992e-01	
3	-1	2	-4.852982e-02	-1.462992e-01	
-1	2	3	-4.852982e-02	-1.462992e-01	
-1	3	2	6.374058e-02	1.374322e-01	
-3	-2	1	6.374058e-02	-1.374322e-01	
2	-1	3	6.374058e-02	1.374322e-01	
-1	-1	0	1.356610e-01	3.665540e-02	
1	1	0	1.356610e-01	-3.665540e-02	
0	1	1	1.356610e-01	-3.665540e-02	
1	0	1	1.356610e-01	-3.665540e-02	
